stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,HU,GOVES,BRUDIT,FOM,REE,STOCOTION,RO,HUS,NER,OUTLEOF,OD,LIRR,N
2,NIED,FOM,NEVESRY,MAK,NE,O,SYMELOM,OY,CEDDUROL,FOTOLMS,OSE,INCRECORITY,N
3,HU,SUT,UD,OSE,WONCHED,AR,QUEY,PUBBED,THULPELVES,IBER,REE,STURN,N
1,THEY,ARE,PUTTING,STRONG,PRESSURE,ON,THEIR,POLICE,DEPARTMENTS,TO,KEEP,ORDER,S
2,SENATOR,HUBERT,HUMPHREY,IS,OBVIOUSLY,A,MAN,WITH,A,SOUL,AND,HEART,S
3,I,FOLLOWED,THEM,IN,THE,JEEP,AND,NOW,THEY,DID,NOT,CARE,S
4,SOMETIMES,I,GUESSED,IT,WAS,BECAUSE,THE,RAIN,SQUALL,HAD,CHANGED,DIRECTION,S
5,THIS,MATERIAL,FLUORESCES,UNDER,ULTRAVIOLET,LIGHT,WHICH,FACILITATES,ITS,SAMPLING,AND,ASSESSMENT,S
6,HE,IS,BETTER,FITTED,TO,PERFORM,HIS,SOCIAL,LIFE,AMONG,HIS,FELLOWS,S
4,HU,LELD,REE,RERE,OY,HUS,SNINGS,OSE,LEFORNED,RO,REE,LOMPY,N
5,SHONESE,OSE,ENCIOD,MERSHOCKS,OTHISS,REE,STREOP,DERE,SLOSSING,FREIR,STOUL,CHOTTERS,N
6,O,CORGLE,OTIVES,EN,REE,ORF,DIRIDES,OTS,FLOPE,OSE,SMOLE,UGWONDS,N
7,FROM,THE,OUTSIDE,IT,WAS,AN,ORDINARY,ENOUGH,HOUSE,OF,THE,GENTRY,S
8,SHE,EXPERIENCED,NONE,OF,THE,SUSPENSE,OF,SOME,POOR,STRANGER,SELLING,ENCYCLOPEDIAS,S
9,WHETHER,HE,SANG,WELL,OR,BADLY,HAD,NOTHING,TO,DO,WITH,IT,S
