stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,MR,WENDELL,AND,HIS,BRIDE,WILL,LIVE,IN,HIS,LAKE,FOREST,HOUSE,S
2,PRIOR,TO,THAT,HE,WAS,ASSOCIATED,WITH,LONG,ISLAND,UNIVERSITY,IN,BROOKLYN,S
3,THE,ORCHESTRA,WAS,OBVIOUSLY,ON,ITS,METTLE,AND,IT,PLAYED,MOST,RESPONSIVELY,S
1,JUMS,REE,CONEST,SUFFISTION,OY,O,HOUL,OS,FOUSE,OD,FEETOGE,PUNES,N
2,RO,REE,DICONTORS,REE,TROPLEN,OSTEORED,O,MOLLER,OY,INTROWLS,OM,DITLENONY,N
3,TRORE,WAM,TOTTLE,HOGELIHOOD,OY,EDY,CETTOWERS,GOULING,EN,ET,FROT,MOUR,N
4,HU,SLUPPED,MABING,RO,STOME,ET,HAK,PITH,HUS,POMP,DRUE,EAFS,N
5,O,NURGER,OY,DIMBEDEROTIONS,SUFFIST,FROT,PLIN,UXCURS,OODLY,EN,REE,STORESS,N
6,RO,COMPYNE,VOUR,OPWOSTED,GRODE,INGIME,HOO,TOTIT,ORS,ILEND,OY,INGIME,N
4,THE,SOCIAL,AND,PSYCHOLOGICAL,CONSEQUENCES,OF,THIS,CONTINUE,TO,AFFECT,THE,AREA,S
5,BUT,A,SOMEWHAT,MORE,DETAILED,ANALYSIS,OF,THIS,PROCESS,MAY,BE,ILLUMINATING,S
6,BUT,I,ONLY,THOUGHT,OF,THAT,IN,THE,MIDDLE,OF,THE,NIGHT,S
7,HUS,WISM,WAM,EN,DITIROTE,HEONSE,OSE,NYREING,OP,INFONE,PITH,MEESHES,N
8,HU,OTUPSED,SHIMING,EDY,MURPLISE,OM,ONSUXONCE,QUEN,VO,OVE,ORSHERED,HOM,N
9,KEETH,TORD,PUNDY,ONIET,HUS,BLEEM,RO,LEFORN,RO,EMCIO,OSE,BELMO,N
7,HE,HAS,TO,COPE,WITH,FRUSTRATION,AND,OTHER,EMOTIONAL,DISTURBANCE,AND,ANOMIE,S
8,BUT,THE,INFORMATION,ON,THE,DYNAMICS,OF,POPULATION,WAS,OFTEN,QUITE,MISLEADING,S
9,SHE,WOULD,RATHER,LIVE,IN,DANGER,THAN,DIE,OF,LONELINESS,AND,BOREDOM,S
10,REE,RENICKER,GEDDED,AR,HU,MOFFS,UD,BEBILL,HOM,ET,REE,BOM,N
11,EN,REE,STONLISKS,HU,COURN,MEE,REE,PREES,STRICKED,OY,FREIR,LEORED,N
12,REE,TONBET,CHOCE,DROCKLY,OSE,BRUICLY,TULLS,HOO,WHISS,OPRITIDES,FE,QUAT,N
10,IT,WOULD,HAVE,BEEN,EASY,TO,IDENTIFY,AS,OPIUM,BY,ITS,ODOR,S
11,HE,ALSO,REMINDED,HIMSELF,THAT,HE,HAD,AN,UNUSUAL,NUMBER,OF,POSSIBILITIES,S
12,HIS,SMALL,BLACK,EYES,DARTED,INSIDE,THE,OLIVE,OVAL,OF,HIS,FACE,S
13,HE,TURNED,AND,RACED,ACROSS,THE,PARADE,GROUND,TOWARD,THE,ROCK,HOUSE,S
14,SUSAN,AND,JULIA,CAME,FROM,THE,DOOR,AND,DRAGGED,HIM,WITH,THEM,S
15,I,SPUN,ABOUT,AND,CLATTERED,THROUGH,THE,FRONT,ROOM,TO,THE,DOOR,S
