stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,OT,BEPIME,SU,MOMOCOLOUS,AR,RO,REEM,O,POME,OY,REE,CLIOLNESS,N
2,E,WAM,GRORETUL,FOM,FREIR,INSOLLS,INNI,HY,NIED,FOM,PLIN,ENVENIESTS,N
3,PORY,OY,FREM,HABS,TRUFTED,INNI,REE,CERIES,OSE,TORMS,OSE,SEOBOLES,N
1,HE,GIVES,CREDIT,FOR,THE,PROMOTION,TO,HIS,NEW,OUTLOOK,ON,LIFE,S
2,NEED,FOR,NOVELTY,MAY,BE,A,SYMPTOM,OF,CULTURAL,FATIGUE,AND,INSTABILITY,S
3,HE,SAT,UP,AND,WATCHED,AS,THEY,PULLED,THEMSELVES,OVER,THE,STERN,S
4,HE,LEFT,THE,REST,OF,HIS,THINGS,AND,RETURNED,TO,THE,LOBBY,S
5,CHINESE,AND,INDIAN,MERCHANTS,ACROSS,THE,STREET,WERE,SLAMMING,THEIR,STEEL,SHUTTERS,S
6,A,CANDLE,ALIGHT,IN,THE,AIR,DIRECTS,ITS,FLAME,AND,SMOKE,UPWARDS,S
4,HET,UR,BRIGULOTE,O,TOTTLE,OD,REE,SUPIMUM,RIZE,OY,REE,ONOLUSSO,N
5,PLIN,DE,BERIECE,WIST,PELPRONTIOLLY,SHEEDEN,REE,SOTENTEEL,MONJET,FOM,REE,ECREYMENT,N
6,BONSORIONS,HABS,HUD,WRO,REOBENS,FOM,PERLONTING,SU,LONK,EN,FREIR,INGUFFIPOTIONS,N
7,THIS,CONFORMITY,REPRESENTS,A,DESPERATE,ATTEMPT,TO,STABILIZE,A,HOPELESSLY,UNSTABLE,ENVIRONMENT,S
8,THE,OTHER,PATRONS,WERE,TAXI,DRIVERS,AND,ART,STUDENTS,AND,SMALL,SHOPKEEPERS,S
9,MIKE,PASSED,THROUGH,IT,AND,MOVED,TOWARD,THE,DARK,MASS,OF,HORSES,S
7,NISITOST,ONK,WELMIME,RO,COTH,MEE,QUAT,BLESE,MIDIGOTER,SETHERS,CAG,FE,N
8,REE,FISMS,SOTURCIP,EN,EOKS,MOIFS,OS,TET,OBILL,FOM,NER,RECOLDIVES,N
9,CUDY,HOUT,EN,REE,CLOTE,FLONTERS,WIST,HERF,TEEP,UD,REE,BOMPEROTERT,N
10,AT,ONCE,A,BEVY,OF,DOGS,WAS,SNAPPING,AND,SNARLING,AROUND,HIM,S
11,AN,OBJECTIVE,SCALE,WAS,DEVELOPED,FOR,RATING,SCHOOL,NEIGHBORHOODS,FROM,THESE,DATA,S
12,WE,SPEND,MILLIONS,OF,DOLLARS,EVERY,YEAR,ON,FORTUNE,TELLERS,AND,SOOTHSAYERS,S
10,RORING,MOBONTS,OY,UNTEMNS,BRIBIS,REE,SEPHEGMITILITY,OY,MOTOCICOL,TEORERS,OS,OPERPROISING,N
11,CHE,PUCKED,UD,REE,CONY,OSE,NUFFLED,NIR,DAT,WOSK,TOTTLE,NENS,N
12,HU,JUBBED,UD,OSE,RURNED,OTOUSE,RO,MEE,REE,SOTOL,WOOR,PLUSING,N
13,TRORE,WAM,TOTTLE,CHORKS,ARYUMS,WOURN,URTER,PLIN,CHOFT,RORING,REE,GONTER,N
14,E,HUD,HELT,REE,DRORD,QUEY,DERE,ROXING,WHIMP,SOUSSING,REE,STOITS,N
15,HU,SELVED,MITHER,FRON,HEORN,REE,GOIR,FROT,SWECS,OTHISS,REE,ORIENCE,N
13,HE,SAT,DOWN,ON,AN,OLD,BOX,AND,FOCUSED,ON,THE,PROBLEM,S
14,THIS,IS,AN,ASSUMPTION,WITH,WHICH,FEW,WOULD,BE,DISPOSED,TO,QUARREL,S
15,IT,WAS,A,ROUGH,LONG,RIDE,THROUGH,THE,MUD,AND,POT,HOLES,S
16,QUEY,POFFED,PONCHES,FROT,DERE,FROPED,DORD,CREY,OGIMMS,REE,BLONS,HOLLS,N
17,WHIKE,RUPPER,OS,REE,CROUND,SEOD,OY,REE,COGGON,BLONS,RUPPER,FREOT,N
18,FINNA,CLIONLY,GOL,O,CROOM,OSE,PRORTED,RO,PREEP,UD,REE,SOCOR,N
16,COMPUTERS,ARE,BEING,USED,TO,KEEP,BRANCH,INVENTORIES,AT,MORE,WORKABLE,LEVELS,S
17,THERE,ARE,THOUSANDS,OF,SQUARE,MILES,OF,SALT,PAN,WHICH,ARE,HIDEOUS,S
18,I,WENT,TO,VISIT,ALFRED,IN,THE,KINGSTON,HOSPITAL,A,FEW,TIMES,S
19,HE,SEEMED,TO,BE,LOOKING,AT,A,POINT,ABOVE,THE,LITTLE,WINDOW,S
20,ALMOST,NO,EMPIRICAL,WORK,HAS,BEEN,DONE,ON,THE,PROBLEM,OF,ALIENATION,S
21,IF,WE,LOOK,AT,RECENT,ART,WE,FIND,IT,PREOCCUPIED,WITH,FORM,S
19,OD,REE,WOB,HU,SLUPPED,ET,REE,DELK,RO,REMIEVE,HUS,MOGE,N
20,PLIN,WAM,WONE,PITH,FUMS,KNORNEPTS,FROT,TRORE,WOURN,NE,VO,EDIGOGIC,N
21,AMSHED,WORVED,POMS,HOM,GOTHOUT,O,WOIL,OSE,GOL,INNI,REE,COS,N
22,OT,WAM,REE,NIFFS,DRAGTON,HUD,TROCKED,FREM,EN,REE,ROKER,GODE,N
23,CHE,WAM,FOUSE,REE,DUY,AULER,ET,REE,BOTTOP,OY,REE,FLITT,N
24,WIME,GONDOWS,PITH,PORY,WROLL,TEORED,POKED,SWECS,OTHISS,REE,USSER,PROSIES,N
22,YOU,COULD,WIN,A,POPULARITY,CONTEST,AT,THAT,SCHOOL,WITHOUT,ANY,TROUBLE,S
23,SUSAN,AND,JULIA,RIPPED,STRIPS,FROM,THEIR,CLOTHING,AND,BOUND,THE,INJURY,S
24,WE,HAD,BECOME,GOOD,FRIENDS,DURING,MY,STAY,AT,COOK,COUNTY,HOSPITAL,S
