stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,QUEY,ONK,PIMNING,STROSH,CHESTURE,OD,FREIR,POLYLL,DENIMPMENTS,RO,TEEP,URPER,N
2,SANANAR,HOGURT,HULFSROY,OS,ODMIEITLY,O,LAN,PITH,O,ROUL,OSE,HEALT,N
3,E,FILLAWED,FREM,EN,REE,JOUP,OSE,NOY,QUEY,DOD,VOT,CANK,N
1,SOME,OF,THE,ISLAND,IS,SAND,AND,IS,NOT,SUITABLE,FOR,LIVING,S
2,KNOWLEDGE,GAINED,FROM,STUDYING,EARTHQUAKE,WAVES,HAS,BEEN,APPLIED,IN,VARIOUS,FIELDS,S
3,I,THINK,YOU,ARE,BEING,UNFAIR,TO,TAKE,THESE,THINGS,UP,NOW,S
4,THE,IMPORTANCE,OF,PARTICLE,SIZE,IN,SUCH,AEROSOLS,HAS,BEEN,THOROUGHLY,DEMONSTRATED,S
5,HE,CONSIDERED,OPENING,A,CAN,OF,BEER,BUT,VETOED,THAT,IDEA,TOO,S
6,NONE,OF,US,WAS,AWARE,THAT,THE,BIGGEST,FIGHT,WAS,STILL,AHEAD,S
4,SOMEMEMES,E,GUNESCO,OT,WAM,BEBAVES,REE,TAIN,SQUARS,HUD,CHAMMED,DICONTION,N
5,PLIN,MOPEGAAL,STUOCIGNES,URMER,USTRAPIOMUM,LIFFS,WHISS,BOMINITATES,OTS,MIMPLING,OSE,ASCISHMENT,N
6,HU,OS,BELLER,TOTTED,RO,PERFAID,HUS,SOVEAL,LIRR,OBUNG,HUS,FULLORN,N
7,I,WAS,CONSTANTLY,SEARCHING,FOR,CLUES,AROUND,THE,NEIGHBORHOOD,OF,THE,HALL,S
8,MONTGOMERY,KNEW,ALL,THE,NATIONAL,LEADERS,UP,TO,THE,TIME,OF,KENNEDY,S
9,THE,PURCHASERS,REJECTED,THE,ORDER,IN,TWO,LETTERS,WRITTEN,IN,VIGOROUS,TERMS,S
7,TROR,REE,OUTNODE,OT,WAM,OP,ODMITORY,ENEAUX,HOULE,OY,REE,GISTRY,N
8,CHE,ENVENIELLED,NOVE,OY,REE,SUSLANSE,OY,SOTH,POOM,STRINKER,MOLLING,ANCYGRACOKIAS,N
9,QUOTHER,HU,SABS,WOLL,OM,COYLY,HUD,NENTING,RO,FE,PITH,OT,N
10,THE,TRIAL,HAD,PACKED,THE,LARGE,COURTROOM,FOR,MORE,THAN,A,WEEK,S
