stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,SOTH,OY,REE,ESBONT,OS,SIND,OSE,OS,VOT,POODOBLE,FOM,FIDING,N
2,KNORNEPTS,GOWLED,TROR,CHOVYING,EERSHQUORT,WORED,HOR,BOUN,ODSTIED,EN,NONIOUS,FIECED,N
3,E,SNINK,HOO,ONK,COING,UNFOBS,RO,TADE,BLESE,SNINGS,UD,NOY,N
1,COPIES,OF,THIS,LETTER,WERE,MADE,AVALIABLE,TO,THE,PRESS,AND,PUBLIC,S
2,NEW,IDEAS,FOR,IMPROVING,NUTRITION,CAME,WITH,THE,STUDY,OF,SOIL,TREATMENT,S
3,THEY,ARE,TRYING,TO,DEMONSTRATE,SOME,DIFFERENT,WAYS,OF,TEACHING,AND,LEARNING,S
4,I,WANTED,TO,HELP,SO,THAT,WE,COULD,FIND,TIME,TO,PLAY,S
5,THEY,ARE,THE,MOST,BEAUTIFUL,PART,OF,THAT,LITTLE,PIECE,OF,NATURE,S
6,HE,WANTED,TO,GO,BACK,TO,HARVARD,FOR,ANOTHER,YEAR,OF,PLAYWRITING,S
4,REE,IMPORLENCE,OY,MORTIGRO,RIZE,EN,SUME,OOROMILS,HOR,BOUN,CLOROUGHLY,DIDORSTROTED,N
5,HU,CONCOLERED,OCISING,O,CAG,OY,BOUR,LUT,VEROUD,FROT,UCUO,SOO,N
6,NOVE,OY,UR,WAM,OFURE,FROT,REE,BIBBEST,FIFFS,WAM,STULL,OFO,N
7,AFTER,THAT,THEY,HAD,SAT,FOR,FIVE,MINUTES,WITHOUT,SAYING,A,WORD,S
8,MOST,OF,US,WOULD,BE,WILLING,TO,ADMIT,THAT,FORGIVENESS,COMES,HARD,S
9,NO,ONE,SUGGESTED,THAT,THE,ETHICAL,EFFECTS,OF,THE,ART,WERE,IRRELEVANT,S
7,E,WAM,BORSTANTLY,MEORTHING,FOM,CLUSK,OTOUSE,REE,NEOCHNOURPOOD,OY,REE,HORS,N
8,MONGHECERY,WREW,ORS,REE,VOLIENOL,TEORERS,UD,RO,REE,TICE,OY,KANGADY,N
9,REE,SOLCHOSERS,REHONTED,REE,URPER,EN,WRO,TUTTERS,PROTTEN,EN,NEPOROUS,TELDS,N
10,THE,ATMOSPHERE,IS,THAT,OF,AN,ATTRACTIVE,PRIVATE,BEACH,CLUB,AT,HOME,S
11,SHE,HAD,ARRIVED,THIS,MORNING,AND,COME,STRAIGHT,TO,THE,ENGLISH,GARDENS,S
12,WHEN,HE,GETS,THE,ANSWERS,TO,HIS,QUESTIONS,HE,WILL,BE,DISCOURAGED,S
10,REE,FLIOT,HUD,PABBED,REE,LOLKS,COORDLOOM,FOM,HORE,FRON,O,WOOK,N
11,BENGAN,GRINGED,OSE,SPIPPED,O,RECK,PITH,HUS,THURL,LOKE,O,MONDLE,N
12,TRORE,WAM,SOILCLING,MOCHES,OSE,BROKY,ONIET,OTS,MOROON,FROT,DISTOLVES,FREM,N
13,HU,SPINT,LONK,HEERS,LEFOSE,REE,PEREDISION,PLUTTING,OOT,PRERIDES,OY,RESONGE,N
14,HU,LOAKED,FOM,REE,COURCE,OY,REE,NOITS,FROT,HUD,OFUKENED,HOM,N
15,PLIN,EXCETSION,HOR,BOUN,WIING,OD,FOM,OP,OUTIKOTER,EILED,CULLION,YIERS,N
13,WE,MADE,IT,BACK,TO,THE,HARBOR,IN,LESS,THAN,FOUR,MINUTES,S
14,THERE,IS,A,TANGIBLE,FEELING,IN,THE,AIR,OF,REVULSION,TOWARD,POLITICS,S
15,THEIR,DUTIES,INCLUDE,EVALUATION,OF,THE,INFORMATION,COLLECTED,AND,PREPARATION,OF,RECOMMENDATIONS,S
16,NIR,FOPE,REEMED,RO,FLOOT,EN,OP,INSCABDIBLY,CLIGHT,CHOFT,OY,PONLIGHT,N
17,REE,RIZE,OY,WEOREN,MOURD,WIST,DETERBOLS,REE,OSIENT,OY,CROY,NOONED,N
18,E,TEEK,REE,PAPE,OSE,CHEVEL,OSE,WEWS,OOT,OD,REE,POLKS,N
