stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,JUST,THE,BAREST,SUGGESTION,OF,A,HEEL,IS,FOUND,ON,TEENAGE,PUMPS,S
2,TO,THE,DIRECTORS,THE,PROBLEM,APPEARED,A,MATTER,OF,INTRIGUE,OR,DIPLOMACY,S
3,THERE,WAS,LITTLE,LIKELIHOOD,OF,ANY,CUSTOMERS,WALKING,IN,AT,THAT,HOUR,S
1,POME,OY,REE,HOLILY,SHOURN,NE,SLEOMING,WHIMP,REE,RERE,OS,OFUKE,N
2,OT,MOMP,VO,DETLERENCE,FROT,MOGS,ELIBONCE,POLVED,RO,OP,UMMOSITE,COMBLISION,N
3,CHITMENTS,OY,ORLS,TROR,WENDERT,COONGLIES,COURN,MOMICONLY,NE,SOOZED,AR,CONTROGOME,N
4,E,WOSE,RO,SPEONT,REE,INTLOSSION,OY,O,COMBOUSE,FUMS,OY,CHIGSHEN,N
5,KAKE,WEWS,BAPS,OSE,RECOSSED,REE,LENCHEN,WESEN,OY,REE,SUSSER,PRODENOTIONS,N
6,HU,WRELT,DOIL,ET,HUS,BEP,AR,LONK,AR,HU,COURN,KNEOL,N
4,HE,STOPPED,PACING,TO,STARE,AT,HAL,WITH,HIS,PALE,BLUE,EYES,S
5,A,NUMBER,OF,CONSIDERATIONS,SUGGEST,THAT,THIS,OCCURS,EARLY,IN,THE,PROCESS,S
6,TO,COMPUTE,YOUR,ADJUSTED,GROSS,INCOME,YOU,TOTAL,ALL,ITEMS,OF,INCOME,S
7,TRORE,OS,VO,UTROSION,RO,FEOL,ONIEDY,OM,DISTOLVES,ONIET,BLESE,DOOPLE,N
8,OMOILLY,TRORE,ONK,HORE,FOWBORS,RO,TOOD,SIKE,PLORRING,FRON,FISMS,INTLOSSIONS,N
9,OT,WAM,O,DELOOF,RO,SHEFT,EN,HUS,MOND,RO,TOSSMICOL,TROPIENS,N
7,HIS,WIFE,WAS,IN,DELICATE,HEALTH,AND,NURSING,AN,INFANT,WITH,MEASLES,S
8,HE,AVOIDED,SHOWING,ANY,SURPRISE,OR,ANNOYANCE,WHEN,NO,ONE,ANSWERED,HIM,S
9,KEITH,TOLD,PENNY,ABOUT,HIS,DREAM,TO,RETURN,TO,INDIA,AND,BURMA,S
10,REE,UMLY,EXPOITION,RO,PLIN,OS,MERTIVE,BOES,FROT,HABS,BEMIME,PENORITES,N
11,OT,WAM,LOKE,O,LONK,SLIN,LIGS,DRARK,SCROUGH,O,PIST,CIBSLE,N
12,E,COURN,VOT,CLIVE,RO,HY,POMS,NOM,DOD,E,WIBS,RO,N
10,THE,REPORTER,NODDED,AS,HE,MOVED,UP,BESIDE,HIM,AT,THE,BAR,S
11,IN,THE,STARLIGHT,HE,COULD,SEE,THE,TREES,STRIPPED,OF,THEIR,LEAVES,S
12,THE,TARGET,CHART,QUICKLY,AND,BRIEFLY,TELLS,YOU,WHICH,ADDITIVES,DO,WHAT,S
