stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,REPPIES,OY,PLIN,TUTTER,DERE,MOMP,IMICTOBLE,RO,REE,PRELT,OSE,PEMLIC,N
2,NER,UCUOS,FOM,IMBRIGING,TIWRITION,CADE,PITH,REE,CHOVY,OY,SORD,CHOOTMENT,N
3,QUEY,ONK,FLUING,RO,DIDORSTROTE,SOTH,DETLERENT,WOSS,OY,FOUCHING,OSE,FOURNING,N
1,IT,BECAME,SO,MONOTONOUS,AS,TO,SEEM,A,PART,OF,THE,QUIETNESS,S
2,I,WAS,GRATEFUL,FOR,THEIR,INSIGHT,INTO,MY,NEED,FOR,THIS,EXPERIENCE,S
3,MANY,OF,THEM,HAVE,DRIFTED,INTO,THE,CITIES,AND,TOWNS,AND,SEAPORTS,S
4,LET,US,SPECULATE,A,LITTLE,ON,THE,MAXIMUM,SIZE,OF,THE,ANACONDA,S
5,THIS,WE,BELIEVE,WILL,SUBSTANTIALLY,BROADEN,THE,POTENTIAL,MARKET,FOR,THE,EQUIPMENT,S
6,HISTORIANS,HAVE,HAD,TWO,REASONS,FOR,PERSISTING,SO,LONG,IN,THEIR,INVESTIGATIONS,S
4,E,GORTED,RO,HERF,SU,FROT,DE,COURN,FIMP,TICE,RO,SCOY,N
5,QUEY,ONK,REE,MOGS,BOOLTISUL,POME,OY,FROT,TOTTLE,PIEKS,OY,LOTURE,N
6,HU,GORTED,RO,GE,BAPS,RO,HANHARD,FOM,OLUPSER,YLPH,OY,SCAYPHIDING,N
7,VISITORS,ARE,WELCOME,TO,COME,SEE,WHAT,THESE,DEDICATED,MOTHERS,CAN,DO,S
8,THE,FIRST,SATURDAY,IN,EACH,MONTH,IS,SET,ASIDE,FOR,NEW,RECORDINGS,S
9,BODY,HEAT,IN,THE,CLOSE,QUARTERS,WILL,HELP,KEEP,UP,THE,TEMPERATURE,S
7,AULER,FROT,QUEY,HUD,SUT,FOM,FOVE,SONUTES,GOTHOUT,RABING,O,WOIL,N
8,MOGS,OY,UR,WOURN,NE,WORTING,RO,ODCOT,FROT,FORSOCKNESS,CONCE,HOWN,N
9,VO,OVE,SUFFISTED,FROT,REE,ENSIFOL,EFFALLS,OY,REE,ADE,DERE,OUTULEVONT,N
10,DURING,MOMENTS,OF,INTENSE,CRISIS,THE,RESPONSIBILITY,OF,POLITICAL,LEADERS,IS,OVERWHELMING,S
11,SHE,PICKED,UP,THE,BABY,AND,NUZZLED,HER,FAT,WARM,LITTLE,NECK,S
12,HE,JUMPED,UP,AND,TURNED,AROUND,TO,SEE,THE,METAL,DOOR,CLOSING,S
10,REE,OTMOKNORE,OS,FROT,OY,OP,OMSTOCTIVE,PRIVINE,BEOLS,CLIB,ET,HOTH,N
11,CHE,HUD,ONDIVED,PLIN,SERNING,OSE,COTH,STROCHES,RO,REE,ELTKISH,WORPENS,N
12,QUEN,HU,GOTS,REE,ORSHERS,RO,HUS,SNUSTIONS,HU,WIST,NE,DENCEOROGED,N
13,DE,MOMP,OT,BAPS,RO,REE,HONBEOR,EN,LELT,FRON,FEIR,SONUTES,N
14,TRORE,OS,O,FUNCIBLE,TEEKING,EN,REE,ORF,OY,RELORSION,LOWOND,MELITICS,N
15,FREIR,RURIES,INSPODE,ELUSEITION,OY,REE,INRONGOTION,COTTOCTED,OSE,PRODENOTION,OY,RETORCORDOTIONS,N
13,THERE,WAS,LITTLE,CHANCE,ANYONE,WOULD,ENTER,THIS,SHAFT,DURING,THE,WINTER,S
14,I,HAD,FELT,THE,DRAFT,THEY,WERE,MAKING,WHILE,MOUNTING,THE,STAIRS,S
15,HE,SENSED,RATHER,THAN,HEARD,THE,GASP,THAT,SWEPT,ACROSS,THE,AUDIENCE,S
16,GOTHIN,WRO,WOOKS,WONGEN,WAM,ROSSING,REE,BEMS,ET,REE,OGGEY,GOKE,N
17,HU,BERIEW,EN,ROXING,ENWRORING,CLOUSSES,OSE,HU,MOMP,O,CREOT,PORY,N
18,DE,BOUSED,HUS,REGONDS,OSE,PLOWLS,FREM,EN,OOR,SCHOATS,OSE,AMILERSITIES,N
16,THEY,PASSED,RANCHES,THAT,WERE,FRAMED,DARK,GRAY,AGAINST,THE,BLACK,HILLS,S
17,WHITE,PEPPER,IS,THE,GROUND,SEED,OF,THE,COMMON,BLACK,PEPPER,FRUIT,S
18,LINDA,QUIETLY,GOT,A,BROOM,AND,STARTED,TO,SWEEP,UP,THE,SUGAR,S
19,ON,THE,WAY,HE,STOPPED,AT,THE,DESK,TO,RECEIVE,HIS,MAIL,S
20,THIS,WAS,DONE,WITH,FULL,KNOWLEDGE,THAT,THERE,WOULD,BE,NO,EPIDEMIC,S
21,ALFRED,WALKED,PAST,HIM,WITHOUT,A,WORD,AND,GOT,INTO,THE,CAR,S
19,REE,WILLSTIELD,WROSS,OS,FLOTTERFLOOK,OSE,CLEXIDROSS,OS,URTS,EN,REE,BOGIN,N
20,STUBONT,TEORERS,BENON,CLOCUDIC,EFFONCE,RO,BEFURIOTE,CLEODRE,INCOPRITION,PITEROL,MORCED,ADA,N
21,TOOD,SOSIO,DROLI,HOR,OTS,OPE,SPEVEOL,DENENDS,FROT,COYLY,NIED,REIMPEDURANTER,N
22,REE,POGOR,OS,FONKING,OT,OMEWOCK,RO,COMPOTHS,OGIMMS,HUS,OPE,REGOND,N
23,NIR,SETHER,OLPO,WAM,O,PITSON,OY,MIMORIOR,MOND,OSE,CLOOD,UNCEREVES,N
24,REE,UNTERS,LIPETISE,HUD,HIRMEN,THULPELVES,EN,REE,GROMP,OSE,REE,BRUBS,N
22,IT,WAS,THE,NIGHT,CLAYTON,HAD,TRICKED,THEM,IN,THE,POKER,GAME,S
23,SHE,WAS,FOUND,THE,DAY,AFTER,AT,THE,BOTTOM,OF,THE,CLIFF,S
24,WIDE,WINDOWS,WITH,MANY,SMALL,LEADED,PANES,SWEPT,ACROSS,THE,UPPER,STORIES,S
