stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,TODAY,WHOLE,GRAINS,ARE,FRESHLY,GROUND,EVERY,DAY,AND,BAKED,INTO,BREAD,S
2,THE,RIGHT,TO,LEAVE,LEGACIES,SHOULD,BE,SUBSTANTIALLY,REDUCED,AND,ULTIMATELY,ELIMINATED,S
3,DEANS,CAN,FORM,AN,IMPORTANT,BRIDGE,BETWEEN,THE,PRESIDENT,AND,THE,FACULTY,S
1,MARTER,WEPDEGS,OSE,HUS,CLIDE,WIST,LIMS,EN,HUS,LALE,FATEST,HOULE,N
2,FLIUR,RO,FROT,HU,WAM,ENGEFIATED,PITH,LONK,ESBONT,OLEJURSITY,EN,BREEKDON,N
3,REE,ORQUINTRA,WAM,ODMIEITLY,OD,OTS,MUSTLE,OSE,OT,PLOWLS,MOGS,RETLENNINGLY,N
4,REE,SOVEAL,OSE,CRYCROCETICAL,CONSOPRASSES,OY,PLIN,CONTITOG,RO,AFFAKE,REE,ETOA,N
5,LUT,O,SOTHPROT,HORE,DETINCTS,AMILYVOS,OY,PLIN,STORESS,MAK,NE,ITTACILATING,N
6,LUT,E,UMLY,PROUGHT,OY,FROT,EN,REE,MIGGLE,OY,REE,NIFFS,N
4,WHAT,MATTERED,WAS,THAT,A,NEW,CONCEPT,OF,AMERICANS,WAS,BEING,BORN,S
5,CURT,WAS,TOO,INVOLVED,IN,HIS,OWN,PROBLEMS,TO,PAY,MUCH,ATTENTION,S
6,ORANGES,AND,GRAPEFRUIT,ARE,SHIPPED,FROM,FLORIDA,WEEKLY,FROM,AN,ORGANIC,FARM,S
7,HU,HOR,RO,TOPE,PITH,CLETTRATION,OSE,UNTER,EMECIALAL,DENCURBANCE,OSE,APOGOE,N
8,LUT,REE,INRONGOTION,OD,REE,DYPIVICS,OY,SEVUCATION,WAM,UPTIN,QUIKE,MISRIALING,N
9,CHE,WOURN,MITHER,LIMS,EN,PINGER,FRON,WIE,OY,HERELINESS,OSE,BORETUM,N
7,THE,TWO,LAWMEN,HALTED,THEIR,WAGON,ABOUT,TWENTY,YARDS,FROM,THE,DOOR,S
8,BARE,FEET,ARE,BETTER,FOR,SUCH,WORK,THAN,ANY,FORM,OF,SLIPPER,S
9,SOMEWHAT,SIMILAR,INVESTIGATIONS,HAVE,BEEN,MADE,BY,MEDICAL,OFFICERS,IN,OTHER,AREAS,S
10,OT,WOURN,HABS,BOUN,OOMY,RO,IMARSIFY,AR,OCIOG,CY,OTS,APAR,N
11,HU,OLPO,RECOSSED,HIMRALF,FROT,HU,HUD,OP,ORUBEAL,NURGER,OY,SYNNICILITIES,N
12,HUS,WROLL,BLONS,EAFS,DOLDED,INSAWS,REE,USIVE,OBUL,OY,HUS,FOPE,N
10,MRS,OLIVER,IS,MOTHER,OF,FIVE,CHILDREN,AND,WIFE,OF,A,MACHINIST,S
11,WHETHER,OR,NOT,WALLY,LOST,HIS,JOB,WAS,NO,CONCERN,OF,MINE,S
12,FOR,JUST,AN,INSTANT,HE,THOUGHT,OF,APPEALING,TO,THEM,FOR,HELP,S
13,PARENTS,ARE,OFTEN,CONCERNED,THAT,ORTHODONTIC,APPLIANCES,MAY,CAUSE,TEETH,TO,DECAY,S
14,I,GOT,A,QUICK,LOOK,AT,THEIR,FACES,AS,WE,WENT,PAST,S
15,PICTURES,CAN,BE,TAKEN,IN,THE,PUBLIC,AREAS,AND,WHEN,ON,TOURS,S
13,HU,RURNED,OSE,RAWLS,OTHISS,REE,PALODE,CROUND,LOWOND,REE,RECK,HOULE,N
14,SUBON,OSE,JUROE,CADE,TROR,REE,WOOR,OSE,BLAGGED,HOM,PITH,FREM,N
15,E,GRUN,ONIET,OSE,SPITTERED,SCROUGH,REE,SNONT,ROOR,RO,REE,WOOR,N
16,BETTER,SHOW,IT,TO,FIONA,AND,SEE,IF,HE,HAD,OMITTED,ANYTHING,S
17,THERE,WAS,THE,REVOLUTION,IN,TIBET,WHICH,WE,PRETENDED,DID,NOT,EXIST,S
18,BY,THE,TIME,HE,HAD,SMOKED,THREE,CIGARETTES,HE,HAD,CALMED,DOWN,S
16,REE,CLOUNS,BULCTS,DARDWARD,OSE,BURBS,PAWDENLY,INNI,O,CREOT,BLONS,TENNEL,N
17,PLIN,WIST,HERF,HOM,RO,GIT,OOT,OY,HUS,TOTTLE,LICKLE,SHON,N
18,DOIL,REE,SPEE,HU,SQUIMBLED,OSE,WRELT,ET,REE,ENCE,OY,TALIAME,N
19,HUS,YIERS,OY,CAMMESQUING,HUD,TAUNCH,HOM,REE,VOSUE,OY,GALER,DISCICRALS,N
20,HU,RECOSSED,DATSUO,OY,O,SOLILIR,THANG,HU,HUD,WIMNELVES,EN,CHIDO,N
21,EN,REE,CISTRE,OY,HUS,BRILLEINE,CUMBS,SUT,O,WROLL,BLONS,GLUSTCAP,N
19,TWO,SHARPLY,CONTRASTING,PLACES,DESIGNED,FOR,PUBLIC,ENJOYMENT,ARE,NOW,ON,DISPLAY,S
20,WHITE,HOUSE,LEGISLATIVE,AIDES,WERE,STILL,CONFIDENT,THE,BILL,WOULD,PASS,INTACT,S
21,ANNE,PICKED,UP,THE,TOWEL,SHE,WAS,HEMMING,FOR,THE,HOSPITAL,GUILD,S
22,HE,TILTED,HIS,HOMELY,FACE,TOWARD,THE,DRY,BED,OF,THE,RIVER,S
23,I,ASKED,ABOUT,THE,BATTLE,BETWEEN,LIFE,AND,DEATH,IN,HIS,PLAYS,S
24,I,KNEW,IN,THAT,MOMENT,THAT,I,DID,NOT,HAVE,ANY,CHOICE,S
22,HU,HUD,SHET,HUS,WOOR,PITH,REE,BRADE,NURGER,SCRENTS,RO,OT,N
23,E,FAYURED,E,COURN,STANT,PRIBLIRALLY,OTUBLING,FOM,O,COAMLE,OY,WOOKS,N
24,MAVE,SHRULLED,OD,HUS,SPOMES,ROAT,OSE,PUCKED,UD,REE,COS,KEES,N
