stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,HE,ENLISTED,A,STAFF,OF,LOYAL,EXPERTS,AND,OF,MANY,ZEALOUS,VOLUNTEERS,S
2,HE,BASES,HIS,APPROACH,ON,THE,BELIEF,THAT,ANYTHING,CAN,FOLLOW,ANYTHING,S
3,IN,THIS,PLAY,THERE,WERE,SO,MANY,CHARACTERS,AND,SO,MUCH,DETAIL,S
1,LOGOY,WHOSS,GROILS,ONK,FROFTLY,CROUND,ELKBY,DUY,OSE,BUKED,INNI,CLEOD,N
2,REE,RILKS,RO,LEOMS,FUCOCIES,SHOURN,NE,PELPRONTIOLLY,REGUGNS,OSE,OBTINOSSLY,ELUSIPATED,N
3,LEENS,CAG,FOGE,OP,IMPORLENT,CLIDGE,BESHOON,REE,PRESIBOTE,OSE,REE,FOPURCY,N
4,QUAT,MOLLERED,WAM,FROT,O,NER,CONGOPT,OY,EMERINUTE,WAM,COING,BORK,N
5,CUYS,WAM,SOO,INVINGED,EN,HUS,OPE,TROPIENS,RO,POB,MUME,OTLINSION,N
6,UNENGES,OSE,GROPEGREET,ONK,SHICKED,TROR,CLERIGO,WEOFLY,TROR,OP,OMRONIC,FASK,N
4,SCOTTY,ACCEPTED,THE,DECISION,WITH,INDIFFERENCE,AND,DID,NOT,ENTER,THE,ARGUMENTS,S
5,THIS,PROCEDURE,IS,MUCH,MORE,EFFECTIVE,THAN,GIVING,OUT,A,MEMBERSHIP,PACKET,S
6,MOST,SCHOOL,SYSTEMS,TODAY,MAINTAIN,A,SYSTEM,OF,CUMULATIVE,RECORDS,OF,PUPILS,S
7,REE,WRO,PURROTATE,FOLTED,FREIR,GOYON,ONIET,KNUNTY,YLPHS,TROR,REE,WOOR,N
8,BOME,DEET,ONK,BELLER,FOM,SUME,WOFT,FRON,EDY,FOGE,OY,DRONNER,N
9,SOTHPROT,SOLILIR,INGUFFIPOTIONS,HABS,BOUN,MOMP,CY,PUTICOL,USCICERS,EN,UNTER,ETEOS,N
7,SOMEONE,HAD,MOVED,BEYOND,THE,RANGE,OF,THE,LIGHT,FROM,THE,WINDOW,S
8,AND,THIS,WAS,BEFORE,HE,BEGAN,TO,PLAY,HIS,STARTLINGLY,BEAUTIFUL,JAZZ,S
9,IT,APPEARED,THAT,THE,THEORY,COULD,BE,SAVED,IN,ONE,WAY,ONLY,S
10,VISS,UCIPER,OS,SETHER,OY,FOVE,CHIGSHEN,OSE,WISM,OY,O,POWRITIST,N
11,QUOTHER,OM,VOT,WANTY,LOMS,HUS,JOW,WAM,VO,CONCUCT,OY,MONE,N
12,FOM,JUMS,OP,INSTONE,HU,PROUGHT,OY,OMMODING,RO,FREM,FOM,HERF,N
10,THE,PROBLEM,OF,SOLIDARITY,AND,MORALE,AGAIN,INVOLVES,THE,CONCEPT,OF,VALUES,S
11,I,CROSSED,THE,BEAUTIFULLY,FURNISHED,LIVING,ROOM,TO,THE,PALE,YELLOW,PHONE,S
12,NO,CLIENT,WOULD,EVER,THINK,OF,ASKING,HIM,TO,DO,SUCH,THINGS,S
13,THEN,HE,NOTICED,THAT,THE,DRY,WOOD,OF,THE,WHEELS,HAD,SWOLLEN,S
14,THE,HULL,WAS,ALSO,A,RESULT,OF,ALMOST,A,DECADE,OF,WORK,S
15,THE,RED,GLOW,FROM,THE,COVE,HAD,DIED,OUT,OF,THE,SKY,S
13,PONENDS,ONK,UPTIN,CONGORNED,FROT,OMPREGONTIC,IDTHIOSSES,MAK,COIRE,REETH,RO,DEBEY,N
14,E,GOL,O,WHICK,LOAK,ET,FREIR,FOPES,AR,DE,WEWS,POMS,N
15,PIFFURES,CAG,NE,LOZEN,EN,REE,PEMLIC,ETEOS,OSE,QUEN,OD,TEERS,N
16,SHE,BLEW,HER,NOSE,ON,A,TISSUE,AND,OPENED,THE,COKE,BOTTLE,S
17,IT,WAS,A,SIMPLE,IVORY,CRUCIFIX,WHICH,MY,MOTHER,HAD,GIVEN,ME,S
